47;compound;dishwater;dirty;;;;;gryazniy;
47;compound;seawater;dirty;;;;;;
47;compound;soap;dirty;;;;;;
47;compound;bilge;dirty;;;;;;
48;natural_fiber;gauze;dirty;filthy;;;;gryazniy;
49;identification;thumbprint;dirty;;;;;gryazniy;
50;difference;heterogeneity;;;messy;;;;
51;unfortunate;beggar;dirty;filthy;;;schmutzig;gryazniy;
51;unfortunate;tramp;dirty;filthy;;;;gryazniy;
51;unfortunate;hobo;dirty;filthy;;;;;
52;share;bacon;dirty;;;;;;
53;opinion;mark;dirty;;;;;gryazniy;
54;book;vocabulary;;filthy;;;;;
55;determination;fingerprint;dirty;;;;;;
56;indebtedness;crook;dirty;;;;;;
57;plant_material;yam;;;;;;gryazniy;
58;inquiry;study;dirty;;messy;;;;
58;inquiry;comparison;dirty;;;;;;
58;inquiry;survey;dirty;;;;;;
59;geographical_area;tee;dirty;filthy;;;;;
59;geographical_area;plaza;dirty;;;;;;
59;geographical_area;campsite;dirty;;;;;;
59;geographical_area;lawn;dirty;;;;;;
59;geographical_area;piazza;dirty;;;;;;
59;geographical_area;dig;;;;;;gryazniy;
60;Southerner;rebel;;filthy;;;;;
61;morpheme;whitewash;dirty;;;;;;
61;morpheme;romp;;;;;;gryazniy;
62;relative;brother;dirty;filthy;;;;;
63;employee;porter;dirty;;;;;;
63;employee;gipsy;dirty;;;;;;
63;employee;gypsy;dirty;;;;;;
63;employee;miner;dirty;;;;;;
64;binary_compound;rainwater;dirty;filthy;;;;;
64;binary_compound;condensate;;;;;;gryazniy;
65;chordate;fish;dirty;filthy;;;;;
66;mammal;rat;dirty;filthy;;;;;
66;mammal;bear;dirty;;;;;gryazniy;
66;mammal;mouse;dirty;;;;;;
66;mammal;elephant;dirty;;;;;;
67;rock;sandstone;dirty;;;;;;
67;rock;granite;dirty;;;;;;
68;standard;pelf;dirty;filthy;;;;;
68;standard;cash;dirty;filthy;;;;;
68;standard;lucre;dirty;filthy;;;;;
69;base;cushion;dirty;filthy;;;;;
69;base;helmet;dirty;;;;;;
70;event;time;dirty;filthy;messy;;;gryazniy;
70;event;death;dirty;filthy;messy;;;;
70;event;tide;dirty;filthy;;;;;
70;event;baggage;dirty;filthy;;;;;
70;event;establishment;dirty;filthy;;;;;
70;event;race;dirty;filthy;;;;;
70;event;threshold;dirty;;;;;gryazniy;
70;event;exudate;dirty;;;;;;
70;event;introduction;dirty;;;;;;
70;event;kit;dirty;;;;;;
70;event;luggage;dirty;;;;;;
70;event;wallet;dirty;;;;;;
70;event;smudge;dirty;;;;;;
70;event;revolution;;;messy;;schmutzig;;
70;event;start;;;messy;;;;
70;event;explosion;;;messy;;;;
70;event;birth;;;messy;;;;
70;event;dirty;;;;;;gryazniy;
71;gallinaceous_bird;hen;dirty;filthy;;;;;
72;beverage;beer;dirty;filthy;;;;;
72;beverage;rum;;filthy;;;;;
73;writing_style;article;dirty;filthy;;;;gryazniy;
74;speech_act;talk;dirty;filthy;;;;gryazniy;
74;speech_act;slang;dirty;filthy;;;;;
